"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23686","","5318","","29004",""
"2","Total Active Cases","103 
(0.43%)","","10 
(0.2%)","","113 
(0.4%)",""
"3","Total Cured/Discharged","23415 
(98.9%)","","5248 
(98.7%)","","28663 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","00","","21",""
"6","Total Positive cases in Home Isolation","72","","10","","82",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","10","","00","","10",""
"9","No. of Samples Tested (Today)","238","","47","","285",""
"10","No. of Samples Positive (Today)","21","","00","","21",""
"11","No. of Samples Negative (Today)","217","","47","","264",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","64 
00 
02 
00 
66"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(06/08/2022)","","Test Done Today 
(07/08/2022)","","Cumulative"
"","","a)RTPCR","33840","","120","","33960"
"","","b)TRUENAT","14737","","12","","14749"
"","","c)RAT","357064","","153","","357217"
"","","d)  CBNAAT","1183","","00","","1183"
"","","TOTAL","706824","","285","","707109"
