"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","792117","5","49862","0","447","4","49366","49"
"2","ALWAR","1620521","9","84804","0","321","13","84431","52"
"3","BANSWARA","320989","0","14771","0","106","0","14665","0"
"4","BARAN","240128","0","15309","0","64","1","15243","2"
"5","BARMER","404803","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476318","0","31451","0","272","0","31179","0"
"7","BHILWARA","508816","3","38206","0","162","0","38034","10"
"8","BIKANER","751521","25","50116","0","587","6","49437","92"
"9","BUNDI","236232","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453440","2","29412","0","140","0","29256","16"
"11","CHURU","436367","3","20905","0","115","1","20767","23"
"12","DAUSA","295297","0","15859","0","81","4","15764","14"
"13","DHOLPUR","287960","0","13966","0","49","0","13916","1"
"14","DUNGARPUR","327954","0","25499","0","134","0","25364","1"
"15","GANGANAGAR","423167","3","28167","0","158","2","27997","12"
"16","HANUMANGARH","489088","0","22522","0","114","2","22407","1"
"17","JAIPUR","3456109","39","276790","0","2113","30","274380","297"
"18","JAISALMER","242709","0","17036","0","68","0","16968","0"
"19","JALORE","446556","2","10559","0","78","0","10473","8"
"20","JHALAWAR","407549","1","17758","0","207","5","17550","1"
"21","JHUNJHUNU","493456","0","19160","0","181","0","18979","0"
"22","JODHPUR","1428947","9","141226","0","1164","4","140012","50"
"23","KARAULI","241554","0","8968","0","84","0","8884","0"
