"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,865"
"2","Number of persons tested positive today in Tamil Nadu","244"
"3","Total Number of persons tested positive till date","35,89,781"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","10,666/ 
6,96,59,031@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","10,531/ 
6,84,38,071"
"6","No. of Male / Female / Transgender tested positive today","148/96/0"
"7","No. of Male / Female / Transgender tested positive till date","20,93,152/14,96,591/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","405/ 
35,47,868"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
