"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1308","1292","262620","225","13554","276174","1613"
"Bageshwar","812","766","225740","148","6368","232108","871"
"Chamoli","1282","1345","305143","73","13000","318143","1207"
"Champawat","999","1243","283490","75","8291","291781","596"
"Dehradun","10127","8856","2003820","1678","127272","2131092","4328"
"Haridwar","10804","11321","2324293","694","57056","2381349","4210"
"Nainital","1654","1601","598585","592","45179","643764","314"
"Pauri Garhwal","1030","979","431755","238","19782","451537","432"
"Pithoragarh","888","479","245257","123","10979","256236","782"
"Rudraprayag","700","127","207943","16","9123","217066","1166"
"Tehri Garhwal","696","652","315335","126","16751","332086","719"
"US Nagar","2998","3735","1006109","376","41850","1047959","529"
"Uttarkashi","596","352","352136","38","12928","365064","841"
"Total","33894","32748","8562226","4402","382133","8944359","17608"
