"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1641332*","20631796*"
"2","Total No. of patients tested Positive","23433","783961"
"3","No. of patients discharged","22723","762997"
"4","Total Deaths reported","187","20492"
"5","Sample collected on the day","","4234"
"6","Test conducted on the day","","4210"
"7","Positive cases on the day","","53"
"8","Number of active Cases","","472"
"9","No. of Patients on oxygen support","","24"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218868"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117904"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211888"
"18","Frontline Workers vaccinated with 2nd dose on the day","","8"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019025"
"20","Above 45 Vaccinated with 1st dose on the day","","92"
"21","Total Above 45 Vaccinated with 1st dose","","8345340"
"22","Above 45 Vaccinated with 2nd dose on the day","","438"
"23","Total Above 45 Vaccinated with 2nd dose","","7645044"
"24","18-44 years age group Vaccinated with 1st dose on the day","","300"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12655675"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1247"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10676069"
"28","15-17 years age group Vaccinated with 1st dose on the day","","177"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112557"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","484"
"31","Total 15-17 years age group Vaccinated with 2nddose","","855204"
"32","12-14 years age group Vaccinated with 1st dose on the day","","636"
"33","Total 12-14 years age group Vaccinated with 1st dose","","669799"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1123"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","468682"
"36","Precautionary dose given on the day","","6794"
"37","Total Precautionary dose given","","1667776"
"38","Total Vaccination 1st dose on the day","","395"
"39","Total Vaccination 2nd dose on the day","","1701"
"40","Total Vaccination 1st and 2nd dose on the day","","2096"
