"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","795093","19783965"
"2","Total No. of patients tested Positive","2550","761621"
"3","No. of patients discharged","1929","743179"
"4","Total Deaths reported","15","17761"
"5","Sample collected on the day","","10936"
"6","Test conducted on the day","","10943"
"7","Positive cases on the day","","134"
"8","Number of active Cases","","681"
"9","No. of Patients on oxygen support","","17"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218666"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117450"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210558"
"18","Frontline Workers vaccinated with 2nd dose on the day","","57"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013720"
"20","Above 45 Vaccinated with 1st dose on the day","","250"
"21","Total Above 45 Vaccinated with 1st dose","","8323341"
"22","Above 45 Vaccinated with 2nd dose on the day","","7141"
"23","Total Above 45 Vaccinated with 2nd dose","","7403167"
"24","18-44 years age group Vaccinated with 1st dose on the day","","917"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12583697"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","13475"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10144576"
"28","15-17 years age group Vaccinated with 1st dose on the day","","389"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1083488"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1350"
"31","Total 15-17 years age group Vaccinated with 2nddose","","746839"
"32","12-14 years age group Vaccinated with 1st dose on the day","","447"
"33","Total 12-14 years age group Vaccinated with 1st dose","","591550"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1417"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","322070"
"36","Precautionary dose given on the day","","3556"
"37","Total Precautionary dose given","","713068"
"38","Total Vaccination 1st dose on the day","","1179"
"39","Total Vaccination 2nd dose on the day","","20689"
"40","Total Vaccination 1st and 2nd dose on the day","","21868"
