"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20887","","4328","","25215",""
"2","Total Active Cases","990 
(4.7%)","","318 
(7.3%)","","1308 
(5.2%)",""
"3","Total Cured/ Discharged","19733 
(94.5%)","","3951                                  
(91.3%)","","(93.9%)",""
"4","Total Died","164 
(0.79%)","","59 
(1.4%)","","223 
(0.88%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","10","","35",""
"6","Total Positive cases in Home Isolation","809","","308","","1117",""
"7","COVID Care Centre","112","","0","","112",""
"8","Facility Isolation","44","","0","","44",""
"9","No. of Samples Tested (Today)","463","","474","","937",""
"10","No. of Samples Positive (Today)","131","","48","","179",""
"11","No. of Samples Negative (Today)","332","","426","","758",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","204 
          00 
      00 
           49 
          253"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(25/01/2022)","","Test Done Today 
(26/01/2022)","","Cumulative"
"","","a)  RTPCR","272521","","790","","273311"
"","","b)  TRUENAT","11547","","11","","11558"
"","","c)  RAT","342640","","136","","342776"
"","","d)  CBNAAT","288","","00","","288"
"","","TOTAL","626996","","937","","627933"
