"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","441630","19430492"
"2","Total No. of patients tested Positive","1014","760091"
"3","No. of patients discharged","937","742187"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","4508"
"6","Test conducted on the day","","5466"
"7","Positive cases on the day","","18"
"8","Number of active Cases","","153"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218587"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117159"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","21"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209824"
"18","Frontline Workers vaccinated with 2nd dose on the day","","79"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011177"
"20","Above 45 Vaccinated with 1st dose on the day","","429"
"21","Total Above 45 Vaccinated with 1st dose","","8300887"
"22","Above 45 Vaccinated with 2nd dose on the day","","9949"
"23","Total Above 45 Vaccinated with 2nd dose","","7130641"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1276"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12515112"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","20640"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9602884"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1097"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1058263"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2482"
"31","Total 15-17 years age group Vaccinated with 2nddose","","662210"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2320"
"33","Total 12-14 years age group Vaccinated with 1st dose","","530154"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2924"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","206027"
"36","Precautionary dose given on the day","","3209"
"37","Total Precautionary dose given","","592465"
"38","Total Vaccination 1st dose on the day","","1716"
"39","Total Vaccination 2nd dose on the day","","30689"
"40","Total Vaccination 1st and 2nd dose on the day","","32405"
