"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","487698",19476562
"2","Total No. of patients tested Positive","1090","760167"
"3","No. of patients discharged","1027","742277"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12005"
"6","Test conducted on the day","","11807"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","139"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218597"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117190"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","18"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209897"
"18","Frontline Workers vaccinated with 2nd dose on the day","","88"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011581"
"20","Above 45 Vaccinated with 1st dose on the day","","1636"
"21","Total Above 45 Vaccinated with 1st dose","","8306675"
"22","Above 45 Vaccinated with 2nd dose on the day","","13227"
"23","Total Above 45 Vaccinated with 2nd dose","","7180115"
"24","18-44 years age group Vaccinated with 1st dose on the day","","4538"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12530710"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","24545"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9699633"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1243"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1063603"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3977"
"31","Total 15-17 years age group Vaccinated with 2nddose","","679142"
"32","12-14 years age group Vaccinated with 1st dose on the day","","3517"
"33","Total 12-14 years age group Vaccinated with 1st dose","","544849"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5430"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","224522"
"36","Precautionary dose given on the day","","3298"
"37","Total Precautionary dose given","","606502"
"38","Total Vaccination 1st dose on the day","","6185"
"39","Total Vaccination 2nd dose on the day","","37878"
"40","Total Vaccination 1st and 2nd dose on the day","","44063"
