"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","146","109923","133","107622","1","2280","21"
"2","SAS Nagar","277","95968","232","94765","0","1148","55"
"3","Jalandhar","99","78370","86","76786","0","1578","6"
"4","Patiala","205","62237","198","60770","0","1458","9"
"5","Amritsar","63","59458","54","57762","0","1682","14"
"6","Bathinda","37","50907","34","49812","0","1088","7"
"7","Hoshiarpur","50","40889","58","39790","0","1096","3"
"8","Gurdaspur","17","26956","15","26088","1","865","3"
"9","Pathankot","34","24568","38","24071","0","495","2"
"10","Fazilka","17","23415","31","22870","0","545","0"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","27","21479","1","583","4"
"13","Ropar","25","17963","18","17501","0","455","7"
"14","Ferozepur","14","17913","12","17372","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","23","16806","27","16468","0","338","0"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","24","13012","0","409","0"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","4","10992","4","10735","1","255","2"
"21","Tarn Taran","4","10902","2","10507","0","394","1"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1090","760167","1027","742277","4","17751","139"
