"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,155"
"2","Number of persons tested positive today in Tamil Nadu","711"
"","Passengers returned from other states  by Road tested 
positive today","Assam - 1 
Bihar - 1 
Chhattisgarh - 1 
West Bengal - 1"
"","Total","715"
"3","Total Number of persons tested positive till date","27,28,350"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,818/ 
5,44,72,727@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,569/ 
5,35,39,828"
"6","No. of Male / Female / Transgender tested positive today","420/295/0"
"7","No. of Male / Female / Transgender tested positive till date","15,92,502/11,35,810/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","314 (69 Govt+ 
$
245
 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","748/ 
26,83,691"
"10","Total number of deaths today/ till date","12(5 Private &  
7 Govt) /36,504)"
