"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","40679","2","40311","1","0","367","0"
"2","Ballari","1","115507","0","113724","18","0","1763","2"
"3","Belagavi","1","100121","5","99093","25","0","1001","2"
"4","Bengaluru Rural","0","79274","0","78356","12","0","906","0"
"5","Bengaluru Urban","91","1781007","125","1762349","1706","1","16951","1"
"6","Bidar","0","29806","0","29380","2","0","420","4"
"7","Chamarajanagara","0","43615","0","43079","1","0","524","11"
"8","Chikkaballapura","2","55621","1","55154","7","0","459","1"
"9","Chikkamagaluru","0","57240","1","56829","5","0","406","0"
"10","Chitradurga","1","46307","3","46026","42","0","239","0"
"11","Dakshina 
Kannada","1","135471","4","133601","21","0","1839","10"
"12","Davanagere","0","57534","0","56909","2","0","623","0"
"13","Dharwada**","1","84066","1","82665","11","0","1383","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143856","0","142546","2","1","1306","2"
"16","Haveri","0","26839","0","26167","4","0","668","0"
"17","Kalaburagi","0","76598","0","75704","14","0","880","0"
"18","Kodagu","0","49263","0","48907","3","0","352","1"
"19","Kolara","1","62985","0","62315","6","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21","Mandya","0","101481","0","100766","4","0","711","0"
"22","Mysuru","4","229447","0","226847","42","0","2558","0"
"23","Raichuru","1","45447","0","45081","2","0","364","0"
"24","Ramanagara","0","29789","0","29437","5","0","347","0"
"25","Shivamogga","0","83319","0","82165","25","0","1128","1"
"26","Tumakuru","2","159829","1","158600","13","0","1216","0"
"27","Udupi","1","95594","0","95043","5","0","546","0"
"28","Uttara Kannada","0","71161","0","70342","10","0","809","0"
"29","Vijayapura","1","40996","0","40473","4","0","519","0"
"30","Yadagiri","0","29962","0","29747","3","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","109","3944714","143","3902640","1995","2","40037","42"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till t 
 
 
Date:20-03-2022 
Page 5 of 7","","","","","","","","",""
