"S. No","Subject","Number"
"1","Total Number of people vaccinated on 23rd
Jan","4,89,922"
"2","First Dose on 23rd Jan","82,502"
"3","Second Dose on 23rd Jan","3,70,925"
"4","Precaution Dose on 23rd Jan","36,495"
"5","Cumulative Vaccination till 23rd Jan","11,68,54,156"
"6","Cumulative Vaccination First Dose","6,85,95,798"
"7","Cumulative Vaccination Second Dose","4,76,95,952"
"8","Cumulative Precaution Dose","5,62,406"
"9","Number of CVC (Common Vaccination Centres)","4,866"
"10","Cumulative AEFI cases reported","6,668"
"11","Vaccine wastage","-7%"
