"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","784751","1","49734","0","446","2","49280","8"
"2","ALWAR","1599535","8","84495","0","320","1","84149","26"
"3","BANSWARA","315791","0","14763","0","106","0","14657","0"
"4","BARAN","233077","0","15249","0","64","0","15183","2"
"5","BARMER","402251","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476221","1","31451","0","272","0","31178","1"
"7","BHILWARA","505524","0","38180","0","162","0","38017","1"
"8","BIKANER","736758","0","49907","0","586","1","49317","4"
"9","BUNDI","232143","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450695","0","29377","0","140","0","29235","2"
"11","CHURU","432942","0","20819","0","114","0","20705","0"
"12","DAUSA","289329","0","15783","0","80","0","15695","8"
"13","DHOLPUR","281318","6","13830","0","49","0","13723","58"
"14","DUNGARPUR","327470","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421810","1","28139","0","158","0","27979","2"
"16","HANUMANGARH","487560","1","22517","0","114","0","22402","1"
"17","JAIPUR","3382606","63","275151","0","2112","54","272634","405"
"18","JAISALMER","242087","0","17036","0","68","0","16968","0"
"19","JALORE","443474","0","10545","0","78","0","10467","0"
"20","JHALAWAR","389096","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","491550","0","19158","0","181","0","18977","0"
"22","JODHPUR","1415330","0","141098","0","1164","0","139926","8"
"23","KARAULI","237014","0","8968","0","84","0","8884","0"
