"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1545973","20536437"
"2","Total No. of patients tested Positive","22515","783043"
"3","No. of patients discharged","21237","761511"
"4","Total Deaths reported","171","20477"
"5","Sample collected on the day","","11676"
"6","Test conducted on the day","","11094"
"7","Positive cases on the day","","168"
"8","Number of active Cases","","1055"
"9","No. of Patients on oxygen support","","46"
"10","Patients at critical care Level-3 facilities","","14"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218857"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117865"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","10"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211827"
"18","Frontline Workers vaccinated with 2nd dose on the day","","21"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018734"
"20","Above 45 Vaccinated with 1st dose on the day","","145"
"21","Total Above 45 Vaccinated with 1st dose","","8343897"
"22","Above 45 Vaccinated with 2nd dose on the day","","1109"
"23","Total Above 45 Vaccinated with 2nd dose","","7637354"
"24","18-44 years age group Vaccinated with 1st dose on the day","","518"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12651264"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2742"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10655259"
"28","15-17 years age group Vaccinated with 1st dose on the day","","99"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1110905"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","497"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","849363"
"32","12-14 years age group Vaccinated with 1st dose on the day","","433"
"33","Total 12-14 years age group Vaccinated with 1st dose","","663969"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","820"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","459000"
"36","Precautionary dose given on the day","","11645"
"37","Total Precautionary dose given","","1574551"
"38","Total Vaccination 1st dose on the day","","670"
"39","Total Vaccination 2nd dose on the day","","3882"
"40","Total Vaccination 1st and 2nd dose on the day","","4552"
