"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24041","","5338","","29379",""
"2","Total Active Cases","08 
(0.03%)","","00 
(0%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","23862 
(99.26%)","","5278 
(98.9%)","","29140 
(99.19%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","00","","01",""
"6","Total Positive cases in Home Isolation","06","","00","","06",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","76","","07","","83",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","76","","07","","83",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
00 
00 
42"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(20/10/2022)","","Test Done Today 
(21/10/2022)","","Cumulative"
"","","a)RTPCR","340697","","49","","340746"
"","","b)TRUENAT","15525","","08","","15533"
"","","c)RAT","364136","","26","","364162"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721583","","83","","721666"
