"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1417584","20408047"
"2","Total No. of patients tested Positive","19991","780518"
"3","No. of patients discharged","17966","758241"
"4","Total Deaths reported","136","20441"
"5","Sample collected on the day","","12724"
"6","Test conducted on the day","","12386"
"7","Positive cases on the day","","365"
"8","Number of active Cases","","1836"
"9","No. of Patients on oxygen support","","94"
"10","Patients at critical care Level-3 facilities","","30"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218841"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117812"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","14"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211703"
"18","Frontline Workers vaccinated with 2nd dose on the day","","38"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018272"
"20","Above 45 Vaccinated with 1st dose on the day","","376"
"21","Total Above 45 Vaccinated with 1st dose","","8341010"
"22","Above 45 Vaccinated with 2nd dose on the day","","2004"
"23","Total Above 45 Vaccinated with 2nd dose","","7622318"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1009"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12642456"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","5423"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10617996"
"28","15-17 years age group Vaccinated with 1st dose on the day","","256"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106684"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","591"
"31","Total 15-17 years age group Vaccinated with 2nddose","","840012"
"32","12-14 years age group Vaccinated with 1st dose on the day","","404"
"33","Total 12-14 years age group Vaccinated with 1st dose","","655268"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1065"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","445170"
"36","Precautionary dose given on the day","","24506"
"37","Total Precautionary dose given","","1393509"
"38","Total Vaccination 1st dose on the day","","1385"
"39","Total Vaccination 2nd dose on the day","","7479"
"40","Total Vaccination 1st and 2nd dose on the day","","8864"
