"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,164"
"2","Number of persons tested positive today in Tamil Nadu","1,051"
"3","Total Number of persons tested positive till date","34,43,980"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","82,053/ 
6,38,10,146@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","80,866/ 
6,26,42,528"
"6","No. of Male / Female / Transgender tested positive today","623/428/0"
"7","No. of Male / Female / Transgender tested positive till date","20,10,130/14,33,812/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","3,561/ 
33,87,839"
"10","Total number of deaths today/ till date","7(2 Private &  
5 Govt) /37,977"
