"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","196","109972","180","107669","3","2282","21"
"2","SAS Nagar","415","96104","363","94896","1","1149","59"
"3","Jalandhar","139","78409","119","76819","0","1578","12"
"4","Patiala","224","62255","215","60787","0","1457","11"
"5","Amritsar","85","59482","87","57795","0","1682","5"
"6","Bathinda","58","50926","53","49831","0","1088","7"
"7","Hoshiarpur","62","40902","67","39799","0","1096","7"
"8","Gurdaspur","20","26959","21","26094","1","865","0"
"9","Pathankot","50","24582","50","24083","0","495","4"
"10","Fazilka","28","23426","41","22880","0","545","1"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","40","22075","34","21486","1","583","6"
"13","Ropar","35","17973","30","17513","0","455","5"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","32","16815","32","16473","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","12","11846","10","11490","0","354","2"
"20","Moga","7","10995","8","10739","1","255","1"
"21","Tarn Taran","5","10903","3","10508","0","394","1"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1475","760548","1387","742637","8","17754","157"
