"Total No. of Sample Taken Today","18248"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","1231"
"Total Active COVID-19 Patients","11779"
"Total No. of Active Cases under Home Isolation (07-02-2022)","10835"
"Total No. of Samples found Positive till date 
Total Omicron Cases:658 (Active – 2, Discharged - 656)","966094"
"Total Positive COVID-19 Patients Recovered / Discharged till date","943876"
"No. of Deaths","10416"
"Total No. of People Vaccinated today","113826 
(1st Dose: 22411, 
2nd Dose: 84643 
Precaution Dose: 6772)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18 yrs above population)","22621300 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 82% for 18yrs above population)","17025588 (82%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","175672"
"Cumulative Coverage of Total COVID-19 Vaccination","39822560"
"COVID-19 Today (07-02-2022) Positivity Rate","6.23%"
"Recovery Rate","97.70%"
"Fatality Rate","1.08%"
"Tests Per Million Population","633085"
