"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","475"
"2","Number of persons tested positive today in Tamil Nadu","40"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1"
"","Total","41"
"3","Total Number of persons tested positive till date","34,52,575"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,003/ 
6,53,89,956@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","31,979/ 
6,42,13,592"
"6","No. of Male / Female / Transgender tested positive today","19/22/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,023/14,37,514/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","71/ 
34,14,075"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
