"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","31,368"
"2","Number of persons tested positive today in Tamil Nadu","1,325"
"3","Total Number of persons tested positive till date","34,39,221"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","85,969/ 
6,34,77,508@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","84,004/ 
6,23,15,867"
"6","No. of Male / Female / Transgender tested positive today","801/524/0"
"7","No. of Male / Female / Transgender tested positive till date","20,07,329/14,31,854/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","5,894/ 
33,69,907"
"10","Total number of deaths today/ till date","14(7 Private &  
7 Govt) /37,946"
