"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,21,828"
"2","Number of persons tested positive today in Tamil Nadu","6,120"
"3","Total Number of persons tested positive till date","34,10,882"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,23,537/ 
6,25,25,017@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,15,822/ 
6,14,02,914"
"6","No. of Male / Female / Transgender tested positive today","3,660/2,460/0"
"7","No. of Male / Female / Transgender tested positive till date","19,90,480/14,20,364/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23,144/ 
32,51,295"
"10","Total number of deaths today/ till date","26(16 Private &  
10 Govt) /37,759"
