"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","185","109962","177","107666","3","2282","14"
"2","SAS Nagar","395","96084","351","94884","1","1149","51"
"3","Jalandhar","133","78403","114","76814","0","1578","11"
"4","Patiala","221","62252","214","60786","0","1457","9"
"5","Amritsar","82","59479","87","57795","0","1682","2"
"6","Bathinda","56","50924","52","49830","0","1088","6"
"7","Hoshiarpur","61","40901","67","39799","0","1096","6"
"8","Gurdaspur","20","26959","21","26094","1","865","0"
"9","Pathankot","48","24580","50","24083","0","495","2"
"10","Fazilka","28","23426","40","22879","0","545","2"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","39","22074","34","21486","1","583","5"
"13","Ropar","32","17970","29","17512","0","455","3"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","31","16814","30","16471","0","338","5"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","12","11846","10","11490","0","354","2"
"20","Moga","7","10995","7","10738","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1421","760495","1360","742610","8","17754","131"
