"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","654788","19643657"
"2","Total No. of patients tested Positive","1421","760495"
"3","No. of patients discharged","1360","742610"
"4","Total Deaths reported","8","17754"
"5","Sample collected on the day","","9719"
"6","Test conducted on the day","","6284"
"7","Positive cases on the day","","26"
"8","Number of active Cases","","131"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218638"
"14","Frontline Workers vaccinated with 1st dose on the day","","9"
"15","Total Frontline Workers vaccinated with 1st dose","","1117345"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","19"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210216"
"18","Frontline Workers vaccinated with 2nd dose on the day","","63"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012782"
"20","Above 45 Vaccinated with 1st dose on the day","","654"
"21","Total Above 45 Vaccinated with 1st dose","","8316717"
"22","Above 45 Vaccinated with 2nd dose on the day","","7726"
"23","Total Above 45 Vaccinated with 2nd dose","","7310780"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1366"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12565633"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15323"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9959322"
"28","15-17 years age group Vaccinated with 1st dose on the day","","524"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1078510"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2752"
"31","Total 15-17 years age group Vaccinated with 2nddose","","723864"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1257"
"33","Total 12-14 years age group Vaccinated with 1st dose","","581973"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3309"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","292440"
"36","Precautionary dose given on the day","","4092"
"37","Total Precautionary dose given","","661450"
"38","Total Vaccination 1st dose on the day","","2030"
"39","Total Vaccination 2nd dose on the day","","23131"
"40","Total Vaccination 1st and 2nd dose on the day","","25161"
