"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","16,188+76","15,771+18","102","315+58","12-Jan-22"
"2","Coochbehar","30,538+128","29,978+25","99","461+103","12-Jan-22"
"3","Darjeeling","61,330+462","58,714+120","557+1","2,059+341","12-Jan-22"
"4","Kalimpong","7,385+13","7,176+11","55","154+2","12-Jan-22"
"5","Jalpaiguri","44,197+248","42,565+59","596+1","1,036+188","12-Jan-22"
"6","Uttar Dinajpur","21,529+236","20,277+58","244","1,008+178","12-Jan-22"
"7","Dakshin Dinajpur","19,765+267","18,782+41","179+1","804+225","12-Jan-22"
"8","Malda","37,609+548","34,772+158","190+2","2,647+388","12-Jan-22"
"9","Murshidabad","37,614+576","34,852+140","332","2,430+436","12-Jan-22"
"10","Nadia","79,828+708","75,607+196","905","3,316+512","12-Jan-22"
"11","Birbhum","48,746+895","43,999+267","301","4,446+628","12-Jan-22"
"12","Purulia","21,741+272","20,085+96","114","1,542+176","12-Jan-22"
"13","Bankura","39,414+442","37,399+98","276","1,739+344","12-Jan-22"
"14","Jhargram","13,590+115","12,664+59","27","899+56","12-Jan-22"
"15","Paschim Medinipur","57,977+590","54,990+142","514","2,473+448","12-Jan-22"
"16","Purba Medinipur","65,366+300","63,737+70","406","1,223+230","12-Jan-22"
"17","Purba Bardhaman","48,309+861","44,163+231","213","3,933+630","12-Jan-22"
"18","Paschim Bardhaman","69,329+1,261","62,368+401","372+1","6,589+859","12-Jan-22"
"19","Howrah","1,17,553+1,289","1,06,370+627","1,573+4","9,610+658","12-Jan-22"
"20","Hooghly","99,498+1,335","91,703+407","1,053+4","6,742+924","12-Jan-22"
"21","North 24 Parganas","3,75,145+4,728","3,44,633+1,559","5,073+4","25,439+3,165","12-Jan-22"
"22","South 24 Parganas","1,15,195+1,349","1,06,387+455","1,419+2","7,389+892","12-Jan-22"
"23","Kolkata","4,13,140+6,768","3,62,459+2,901","5,382+6","45,299+3,861","12-Jan-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","18,41,052+23,467","16,89,514+8,139","19,985+26","1,31,553+15,302",""
