"S. No","Subject","Number"
"1","Total Number of people vaccinated on 13th Jan","4,85,823"
"2","First Dose on 13th Jan","1,38,745"
"3","Second Dose on 13th Jan","3,08,613"
"4","Precaution Dose on 13th Jan","38,465"
"5","Cumulative Vaccination till 13th Jan","11,11,50,634"
"6","Cumulative Vaccination First Dose","6,72,65,860"
"7","Cumulative Vaccination Second Dose","4,37,61,797"
"8","Cumulative Precaution Dose","1,22,977"
"9","Number of CVC (Common Vaccination Centres)","4,501"
"10","Cumulative AEFI cases reported","6,572"
"11","Vaccine wastage","-7%"
