"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","779388","0","49711","0","446","0","49259","6"
"2","ALWAR","1578963","1","84452","0","320","3","84121","11"
"3","BANSWARA","310776","0","14762","0","106","1","14652","4"
"4","BARAN","228715","0","15245","0","64","0","15180","1"
"5","BARMER","400328","0","21454","0","205","0","21247","2"
"6","BHARATPUR","476027","0","31450","0","272","3","31177","1"
"7","BHILWARA","502571","0","38176","0","162","0","38014","0"
"8","BIKANER","727624","2","49890","0","586","2","49298","6"
"9","BUNDI","228473","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448151","0","29374","0","140","0","29224","10"
"11","CHURU","429290","0","20819","0","114","0","20701","4"
"12","DAUSA","285812","0","15773","0","80","0","15693","0"
"13","DHOLPUR","275629","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326823","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420289","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486090","0","22516","0","114","3","22396","6"
"17","JAIPUR","3334376","8","274381","0","2111","30","272191","79"
"18","JAISALMER","241260","0","17036","0","68","0","16968","0"
"19","JALORE","440703","0","10545","0","78","0","10467","0"
"20","JHALAWAR","378111","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","489293","0","19158","0","181","0","18977","0"
"22","JODHPUR","1398540","4","141065","0","1164","7","139883","18"
"23","KARAULI","235940","0","8968","0","84","0","8884","0"
