"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","18,935+5","18,765+6","110","60-1","1-Mar-22"
"2","Coochbehar","33,966+1","33,824+4","106","36-3","1-Mar-22"
"3","Darjeeling","69,042+4","68,365+7","599","78-3","1-Mar-22"
"4","Kalimpong","8,518+1","8,445+1","58","15","1-Mar-22"
"5","Jalpaiguri","49,606+2","48,893+6","648","65-4","1-Mar-22"
"6","Uttar Dinajpur","25,126+5","24,828+2","268","30+3","1-Mar-22"
"7","Dakshin Dinajpur","23,098+1","22,862+4","193","43-3","1-Mar-22"
"8","Malda","44,441+4","44,189+5","199","53-1","1-Mar-22"
"9","Murshidabad","41,639+5","41,244+4","356","39+1","1-Mar-22"
"10","Nadia","87,644+4","86,603+9","944","97-5","1-Mar-22"
"11","Birbhum","57,726+5","57,301+7","351","74-2","1-Mar-22"
"12","Purulia","24,226+5","24,077+2","123","26+3","1-Mar-22"
"13","Bankura","43,901+3","43,554+6","286","61-3","1-Mar-22"
"14","Jhargram","15,548+2","15,502+1","31","15+1","1-Mar-22"
"15","Paschim Medinipur","62,557+5","61,972+5","530","55","1-Mar-22"
"16","Purba Medinipur","67,847+3","67,366+4","441","40-1","1-Mar-22"
"17","Purba Bardhaman","55,435+6","55,125+7","238","72-1","1-Mar-22"
"18","Paschim Bardhaman","75,635+6","75,146+5","432","57+1","1-Mar-22"
"19","Howrah","1,25,048+13","1,23,309+9","1,640","99+4","1-Mar-22"
"20","Hooghly","1,07,954+4","1,06,760+7","1,119","75-3","1-Mar-22"
"21","North 24 Parganas","4,03,030+28","3,97,423+25","5,338","269+3","1-Mar-22"
"22","South 24 Parganas","1,27,307+9","1,25,675+11","1,511","121-2","1-Mar-22"
"23","Kolkata","4,47,111+32","4,41,142+29","5,654","315+3","1-Mar-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","20,15,406+153","19,92,433+166","21,178","1,795-13",""
