"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","354"
"2","Number of persons tested positive today in Tamil Nadu","58"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","59"
"3","Total Number of persons tested positive till date","34,54,984"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,612/ 
6,65,28,016@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,600/ 
6,53,50,808"
"6","No. of Male / Female / Transgender tested positive today","30/29/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,324/14,38,622/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","36/ 
34,16,605"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
