"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"1","Mumbai","1106449","1074123","19599","12727"
"2","Thane","784627","767405","11921","5301"
"3","Palghar","165733","161575","3408","750"
"4","Raigad","248660","242512","4948","1200"
"5","Ratnagiri","84675","82025","2546","104"
"6","Sindhudurg","57330","55717","1533","80"
"7","Pune","1462094","1438722","20545","2827"
"8","Satara","278358","271576","6716","66"
"9","Sangli","227193","221479","5666","48"
"10","Kolhapur","220583","214634","5904","45"
"11","Solapur","227210","221253","5880","77"
"12","Nashik","473490","464365","8911","214"
"13","Ahmednagar","377927","370610","7242","75"
"14","Jalgaon","149657","146833","2762","62"
"15","Nandurbar","46630","45662","962","6"
"16","Dhule","50813","50127","670","16"
"17","Aurangabad","176752","172364","4284","104"
"18","Jalna","66363","65118","1224","21"
"19","Beed","109235","106346","2885","4"
"20","Latur","105076","102497","2489","90"
"21","Parbhani","58602","57311","1279","12"
"22","Hingoli","22204","21675","514","15"
"23","Nanded","102721","99993","2704","24"
"24","Osmanabad","75247","73056","2139","52"
