"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35182","0","34845","4","0","333","0"
"2","Ballari","2","97796","2","96003","107","0","1686","0"
"3","Belagavi","2","79986","1","78977","65","1","944","0"
"4","Bengaluru Rural","3","62095","2","61170","35","0","890","0"
"5","Bengaluru Urban","165","1256617","72","1235353","4925","1","16338","1"
"6","Bidar","0","24348","0","23939","3","0","402","4"
"7","Chamarajanagara","9","33072","5","32520","38","0","503","11"
"8","Chikkaballapura","0","43975","0","43536","7","0","431","1"
"9","Chikkamagaluru","1","51211","5","50778","37","0","396","0"
"10","Chitradurga","4","36731","0","36475","47","0","209","0"
"11","Dakshina 
Kannada","13","115894","22","114062","138","0","1687","7"
"12","Davanagere","0","51006","1","50386","12","0","608","0"
"13","Dharwada","10","61319","2","59700","295","0","1322","2"
"14","Gadag","1","26073","1","25749","5","0","319","0"
"15","Hassana","13","112068","8","110726","82","0","1258","2"
"16","Haveri","0","21949","0","21305","1","0","643","0"
"17","Kalaburagi","1","61953","1","61124","7","0","822","0"
"18","Kodagu","9","37261","5","36857","72","0","331","1"
"19","Kolara","2","47017","1","46355","22","0","640","0"
"20","Koppala","0","35203","0","34662","14","0","527","0"
"21","Mandya","6","73857","1","73177","26","0","654","0"
"22","Mysuru","47","179818","15","177117","279","0","2422","0"
"23","Raichuru","1","39981","0","39647","1","0","333","0"
"24","Ramanagara","1","24215","0","23888","4","0","323","0"
"25","Shivamogga","13","69557","3","68359","108","0","1090","0"
"26","Tumakuru","6","121101","9","119839","125","0","1137","0"
"27","Udupi","10","76909","4","76351","70","0","488","0"
"28","Uttara Kannada","3","56414","2","55600","41","0","773","0"
"29","Vijayapura","0","36278","0","35781","2","0","495","0"
"30","Yadagiri","0","27548","0","27340","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","322","2996470","162","2951654","6574","2","38213","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 01-12-2021 
 Page 5 of 7","","","","","","","","",""
