"Sr No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, 
Vaccination Status  
(NHM, Haryana)"
"","","","","","","","","Cumulative Coverage 
of Vaccination till    
03-11-2021"
"1","Gurugram","6","181453","180476[7]","99.46","922","55","3586539"
"2","Faridabad","0","99907","99173[2]","99.27","716","18","2509297"
"3","Hisar","0","53995","52858","97.89","1136","1","1329968"
"4","Sonepat","0","47138","46884","99.46","254","0","1409088"
"5","Karnal","0","40037","39484","98.62","552","1","1458450"
"6","Panipat","0","31150","30511","97.95","638","1","1109558"
"7","Panchkula","0","30773","30386[4]","98.74","379[1]","8","740379"
"8","Ambala","0","30150","29641","98.31","509","0","1452985"
"9","Sirsa","0","29282","28774","98.27","508","0","1067815"
"10","Rohtak","0","25903","25351","97.87","534","1","987348"
"11","Yamunanagar","0","24631","24217","98.32","414","0","1176105"
"12","Bhiwani","0","22409","21757","97.09","652","0","1068422"
"13","Kurukshetra","0","22148","21791[1]","98.39","357","0","861185"
"14","Mahindergarh","0","21689","21534","99.29","155","0","845378"
"15","Jind","0","21209","20676[1]","97.49","533","0","963130"
"16","Rewari","0","20327","20106","98.91","221","0","945857"
"17","Jhajjar","0","18849","18514","98.22","328","1","984753"
"18","Fatehabad","0","17875","17394","97.31","481","0","777642"
"19","Kaithal","0","11244","10898","96.92","346","0","836766"
"20","Palwal","1","11026","10872","98.60","153","1","834875"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","631217"
"22","Nuh","0","5014","4891","97.55","123","0","439551"
"Total","","7","771287","761127[15]","98.68","10050[1]","87","26016308"
