"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","348763","19337624"
"2","Total No. of patients tested Positive","797","759882"
"3","No. of patients discharged","597","741847"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","13452"
"6","Test conducted on the day","","13256"
"7","Positive cases on the day","","27"
"8","Number of active Cases","","284"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218571"
"14","Frontline Workers vaccinated with 1st dose on the day","","9"
"15","Total Frontline Workers vaccinated with 1st dose","","1117089"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","27"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209645"
"18","Frontline Workers vaccinated with 2nd dose on the day","","112"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010517"
"20","Above 45 Vaccinated with 1st dose on the day","","1330"
"21","Total Above 45 Vaccinated with 1st dose","","8283876"
"22","Above 45 Vaccinated with 2nd dose on the day","","14306"
"23","Total Above 45 Vaccinated with 2nd dose","","7040125"
"24","18-44 years age group Vaccinated with 1st dose on the day","","3216"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12474251"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","29119"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9419765"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2734"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1042310"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","5230"
"31","Total 15-17 years age group Vaccinated with 2nddose","","624169"
"32","12-14 years age group Vaccinated with 1st dose on the day","","9688"
"33","Total 12-14 years age group Vaccinated with 1st dose","","484335"
"34","12-14 years age group Vaccinated with 2nddose on the day","","10670"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","150857"
"36","Precautionary dose given on the day","","4524"
"37","Total Precautionary dose given","","566185"
"38","Total Vaccination 1st dose on the day","","4557"
"39","Total Vaccination 2nd dose on the day","","43564"
"40","Total Vaccination 1st and 2nd dose on the day","","48121"
