"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,159"
"2","Number of persons tested positive today in Tamil Nadu","828"
"3","Total Number of persons tested positive till date","27,11,584"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,143/ 
5,22,36,972@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,833/ 
5,13,10,244"
"6","No. of Male / Female / Transgender tested positive today","465/363/0"
"7","No. of Male / Female / Transgender tested positive till date","15,82,600/11,28,946/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","931/ 
26,65,178"
"10","Total number of deaths today/ till date","9(3 Private &  
6 Govt) /36,247)"
