"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18115","","3658","","21773",""
"2","Total Active Cases","221 
(1.22%)","","16 
(0.44%)","","237 
(1.08%)",""
"3","Total Cured/ Discharged","17737 
(98%)","","3584                                  
(98%)","","(98%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","175","","16","","191",""
"7","COVID Care Centre","17","","0","","17",""
"8","Facility Isolation","15","","0","","15",""
"9","No. of Samples Tested (Today)","824","","307","","1131",""
"10","No. of Samples Positive (Today)","23","","01","","24",""
"11","No. of Samples Negative (Today)","799","","306","","1105",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","269 
           00 
       00 
           11 
          280"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(08/12/2021)","","Test Done Today 
(09/12/2021)","","Cumulative"
"","","a)  RTPCR","238599","","741","","239340"
"","","b)  TRUENAT","11109","","08","","11117"
"","","c)  RAT","334326","","382","","334708"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","584206","","1131","","585337"
