"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22967","","5280","","28247",""
"2","Total Active Cases","01 
(0.004%)","","00 
(0%)","","01 
(0.004%)",""
"3","Total Cured/Discharged","22798 
(99.3%)","","5220 
(98.9%)","","28018 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","00","","00","","00",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","74","","16","","90",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","74","","16","","90",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
16 
03 
61"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(05/05/2022)","","Test Done Today 
(06/05/2022)","","Cumulative"
"","","a)RTPCR","320324","","47","","320371"
"","","b)TRUENAT","13737","","20","","13757"
"","","c)RAT","348305","","22","","348327"
"","","d)  CBNAAT","1092","","01","","1093"
"","","TOTAL","683458","","90","","683548"
