"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23259","","5284","","28543",""
"2","Total Active Cases","125 
(0.54%)","","00 
(0%)","","125 
(0.44%)",""
"3","Total Cured/Discharged","22966 
(98.7%)","","5224 
(98.9%)","","28190 
(98.7%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","110","","00","","110",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","150","","24","","174",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","145","","24","","169",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","45 
43 
09 
06 
103"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(06/07/2022)","","Test Done Today 
(07/07/2022)","","Cumulative"
"","","a)RTPCR","328610","","105","","328715"
"","","b)TRUENAT","14434","","07","","14441"
"","","c)RAT","351157","","62","","351219"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","695306","","174","","695480"
