"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","*1121069","*20111532"
"2","Total No. of patients tested Positive","8773","769349"
"3","No. of patients discharged","6638","746913"
"4","Total Deaths reported","57","20363"
"5","Sample collected on the day","","11852"
"6","Test conducted on the day","","11666"
"7","Positive cases on the day","","394"
"8","Number of active Cases","","2073"
"9","No. of Patients on oxygen support","","65"
"10","Patients at critical care Level-3 facilities","","7"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218769"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117656"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","17"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211299"
"18","Frontline Workers vaccinated with 2nd dose on the day","","113"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016760"
"20","Above 45 Vaccinated with 1st dose on the day","","700"
"21","Total Above 45 Vaccinated with 1st dose","","8335132"
"22","Above 45 Vaccinated with 2nd dose on the day","","3487"
"23","Total Above 45 Vaccinated with 2nd dose","","7560991"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1594"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12617988"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","8140"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10478070"
"28","15-17 years age group Vaccinated with 1st dose on the day","","514"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1099062"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1511"
"31","Total 15-17 years age group Vaccinated with 2nddose","","813199"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1191"
"33","Total 12-14 years age group Vaccinated with 1st dose","","629079"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2397"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","408778"
"36","Precautionary dose given on the day","","18939"
"37","Total Precautionary dose given","","897245"
"38","Total Vaccination 1st dose on the day","","2300"
"39","Total Vaccination 2nd dose on the day","","11757"
"40","Total Vaccination 1st and 2nd dose on the day","","14057"
