"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","613942","4","37787","0","410","0","37362","15"
"2","ALWAR","1220198","0","59696","0","307","0","59388","1"
"3","BANSWARA","223343","0","10005","0","104","0","9901","0"
"4","BARAN","154851","0","11996","0","61","0","11935","0"
"5","BARMER","326725","0","15569","0","185","0","15379","5"
"6","BHARATPUR","381137","0","19601","0","260","0","19341","0"
"7","BHILWARA","384866","0","29782","0","156","0","29625","1"
"8","BIKANER","589432","0","40347","0","545","0","39802","0"
"9","BUNDI","171839","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","354034","0","19809","0","139","0","19670","0"
"11","CHURU","312795","0","16720","0","107","0","16613","0"
"12","DAUSA","205532","0","13351","0","62","0","13289","0"
"13","DHOLPUR","221936","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","243925","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","328104","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","366792","0","16053","0","111","0","15942","0"
"17","JAIPUR","2504348","5","187877","0","1970","1","185852","55"
"18","JAISALMER","203193","0","13639","0","66","0","13573","0"
"19","JALORE","370656","0","10067","0","72","0","9995","0"
"20","JHALAWAR","274054","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","364420","0","14811","0","158","0","14653","0"
"22","JODHPUR","1148534","0","112415","0","1103","0","111311","1"
"23","KARAULI","167208","0","7156","0","70","0","7086","0"
