"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17949","","3652","","21601",""
"2","Total Active Cases","259 
(1.44%)","","26 
(0.7%)","","285 
(1.3%)",""
"3","Total Cured/ Discharged","17534 
(97.7%)","","3568                                  
(97.7%)","","(97.7%)",""
"4","Total Died","156 
(0.87%)","","58 
(1.6%)","","214 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","31","","00","","31",""
"6","Total Positive cases in Home Isolation","198","","26","","224",""
"7","COVID Care Centre","13","","0","","13",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","611","","587","","1198",""
"10","No. of Samples Positive (Today)","18","","05","","23",""
"11","No. of Samples Negative (Today)","588","","582","","1170",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","287 
           45 
       00 
            08 
          340"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(30/11/2021)","","Test Done Today 
(01/12/2021)","","Cumulative"
"","","a)  RTPCR","231742","","801","","232543"
"","","b)  TRUENAT","11057","","05","","11062"
"","","c)  RAT","332472","","392","","332864"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","575443","","1198","","576641"
