"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23805","","5329","","29134",""
"2","Total Active Cases","65 
(0.27%)","","06 
(0.11%)","","71 
(0.24%)",""
"3","Total Cured/Discharged","23571 
(99%)","","5263 
(98.76%)","","28834 
(98.9%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","50","","06","","56",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","488","","61","","549",""
"10","No. of Samples Positive (Today)","10","","02","","12",""
"11","No. of Samples Negative (Today)","478","","59","","537",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
59 
00 
00 
106"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(18/08/2022)","","Test Done Today 
(19/08/2022)","","Cumulative"
"","","a)RTPCR","35123","","85","","35208"
"","","b)TRUENAT","14822","","17","","14839"
"","","c)RAT","358775","","440","","359215"
"","","d)  CBNAAT","1207","","07","","1214"
"","","TOTAL","709927","","549","","710476"
