"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","764912","11","49662","0","444","58","49137","81"
"2","ALWAR","1530151","0","84349","0","320","11","84003","26"
"3","BANSWARA","299620","5","14683","0","106","30","14478","99"
"4","BARAN","219493","2","15224","0","64","7","15110","50"
"5","BARMER","395929","2","21444","0","205","2","21198","41"
"6","BHARATPUR","466047","5","31388","0","272","5","31082","34"
"7","BHILWARA","491407","4","38155","0","161","11","37981","13"
"8","BIKANER","710676","11","49810","0","584","31","49171","55"
"9","BUNDI","222547","0","9715","0","55","3","9660","0"
"10","CHITTORGARH","444027","1","29349","0","140","0","29180","29"
"11","CHURU","412716","9","20743","0","114","16","20566","63"
"12","DAUSA","275112","1","15765","1","79","1","15668","18"
"13","DHOLPUR","270763","1","13736","0","49","0","13668","19"
"14","DUNGARPUR","324566","1","25494","0","134","4","25358","2"
"15","GANGANAGAR","412110","14","28083","0","158","15","27850","75"
"16","HANUMANGARH","475049","3","22420","0","114","18","22246","60"
"17","JAIPUR","3221457","92","273331","0","2109","162","269831","1391"
"18","JAISALMER","239372","2","17027","0","68","6","16938","21"
"19","JALORE","435373","3","10536","0","78","0","10433","25"
"20","JHALAWAR","361992","3","17683","0","207","19","17453","23"
"21","JHUNJHUNU","474176","7","19142","0","180","26","18877","85"
"22","JODHPUR","1368383","22","140802","0","1163","35","139470","169"
"23","KARAULI","229296","1","8960","0","84","16","8851","25"
