"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1831083","20821547"
"2","Total No. of patients tested Positive","24306","784834"
"3","No. of patients discharged","23879","764153"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","4335"
"6","Test conducted on the day","","4302"
"7","Positive cases on the day","","28"
"8","Number of active Cases","","171"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218886"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117945"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211971"
"18","Frontline Workers vaccinated with 2nd dose on the day","","4"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019287"
"20","Above 45 Vaccinated with 1st dose on the day","","41"
"21","Total Above 45 Vaccinated with 1st dose","","8346762"
"22","Above 45 Vaccinated with 2nd dose on the day","","199"
"23","Total Above 45 Vaccinated with 2nd dose","","7652090"
"24","18-44 years age group Vaccinated with 1st dose on the day","","142"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661795"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","632"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10697917"
"28","15-17 years age group Vaccinated with 1st dose on the day","","40"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114665"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","404"
"31","Total 15-17 years age group Vaccinated with 2nddose","","862818"
"32","12-14 years age group Vaccinated with 1st dose on the day","","354"
"33","Total 12-14 years age group Vaccinated with 1st dose","","678466"
"34","12-14 years age group Vaccinated with 2nddose on the day","","638"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","486261"
"36","Precautionary dose given on the day","","2441"
"37","Total Precautionary dose given","","1782266"
"38","Total Vaccination 1st dose on the day","","185"
"39","Total Vaccination 2nd dose on the day","","838"
"40","Total Vaccination 1st and 2nd dose on the day","","1023"
