"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 14.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1017","",""
"","","2","Total Discharges","3980172","",""
"","","3","Today's Tests Conducted","29027","",""
"","","4","Total Tests Conducted","68209509","",""
"","","5","Today’s New Cases Reported (13.08.2022, 00:00 to 23:59)","1837","",""
"","","6","Total Active Cases","10922","",""
"","","7","Today's Deaths Reported","3","",""
"","","8","Total Covid Deaths","40147","",""
"","","9","Total Positive Cases","4031283","",""
"","","10","Positivity Rate for the day (13.08.2022, 00:00 to 23:59)","6.32%","",""
"","","11","*Weekly Total Positivity Rate","6.08%","",""
"","","12","Case Fatality Rate (CFR) for the day (13.08.2022, 00:00 to 23:59)","0.16%","",""
"","","13","*Weekly Case Fatality Rate","0.26%","",""
"*From  08-08-2022 to  14-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
4838* 
1366742 
          *Date: 13-08-2022 
 
Date: 14-08-2022 
Page 1 of 9","","","","","",""
