"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24043","","5338","","29381",""
"2","Total Active Cases","09 
(0.04%)","","00 
(0%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","23863 
(99.25%)","","5278 
(98.9%)","","29141 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","00","","01",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","83","","08","","91",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","82","","08","","90",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
00 
00 
51"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(23/10/2022)","","Test Done Today 
(24/10/2022)","","Cumulative"
"","","a)RTPCR","340875","","65","","340940"
"","","b)TRUENAT","15539","","06","","15545"
"","","c)RAT","364198","","20","","364218"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721842","","91","","721933"
