"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22548","","5253","","27801",""
"2","Total Active Cases","325 
(1.4%)","","73 
(1.4%)","","398 
(1.4%)",""
"3","Total Cured/ Discharged","22055 
(97.8%)","","5120                                  
(97.5%)","","(97.7%)",""
"4","Total Died","168 
(0.75%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","1","","17",""
"6","Total Positive cases in Home Isolation","185","","72","","257",""
"7","COVID Care Centre","124","","00","","124",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1163","","251","","1414",""
"10","No. of Samples Positive (Today)","50","","05","","55",""
"11","No. of Samples Negative (Today)","1107","","246","","1353",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","893 
        00 
        00 
        79 
       972"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(18/01/2022)","","Test Done Today 
(19/02/2022)","","Cumulative"
"","","a)  RTPCR","295304","","1244","","296548"
"","","b)  TRUENAT","12064","","18","","12082"
"","","c)  RAT","345839","","149","","345988"
"","","d)  CBNAAT","752","","03","","755"
"","","TOTAL","653959","","1414","","655373"
