,Unnamed: 0,44,Unnamed: 1,फर्रखाबाद,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,11862,Unnamed: 5,0.2,Unnamed: 6,197,Unnamed: 7,17,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मनैपरुी,,1.0,,0.0,,11453.0,,0.0,,189.0,,17.0,,,,,
1,,46,,बागपत,,0.0,,14.0,,11014.0,,0.0,,143.0,,16.0,,,,,
2,,47,,मजुफ्फरनगर,,1.0,,3.0,,38299.0,,0.0,,277.0,,15.0,,,,,
3,,48,,अलीगढ,,1.0,,1.0,,25453.0,,0.0,,113.0,,14.0,,,,,
4,,49,,गोंडा,,3.0,,3.0,,14094.0,,0.0,,284.0,,14.0,,,,,
5,,50,,सीतापरु,,1.0,,9.0,,15734.0,,0.0,,187.0,,14.0,,,,,
6,,51,,अमठेी,,1.0,,9.0,,11463.0,,0.0,,145.0,,13.0,,,,,
7,,52,,इटावा,,1.0,,3.0,,15759.0,,0.0,,296.0,,12.0,,,,,
8,,53,,अयोध्या,,1.0,,5.0,,18655.0,,0.0,,293.0,,11.0,,,,,
9,,54,,बलरामपरु,,2.0,,0.0,,8102.0,,0.0,,139.0,,11.0,,,,,
10,,55,,बस्ती,,3.0,,3.0,,12770.0,,0.0,,336.0,,11.0,,,,,
11,,56,,भदोही,,3.0,,1.0,,8458.0,,0.0,,165.0,,11.0,,,,,
12,,57,,चदंौली,,1.0,,3.0,,17516.0,,0.0,,378.0,,11.0,,,,,
13,,58,,चचत्रकूट,,0.0,,0.0,,7739.0,,0.0,,79.0,,11.0,,,,,
14,,59,,महोबा,,0.0,,2.0,,4457.0,,0.0,,88.0,,11.0,,,,,
15,,60,,मऊ,,1.0,,1.0,,8922.0,,0.0,,86.0,,11.0,,,,,
16,,61,,पीलीभीत,,0.0,,5.0,,12711.0,,0.0,,205.0,,11.0,,,,,
17,,62,,शामली,,2.0,,0.0,,16682.0,,0.0,,48.0,,9.0,,,,,
18,,63,,औरैय्या,,0.0,,2.0,,10773.0,,0.0,,211.0,,7.0,,,,,
19,,64,,बललया,,0.0,,3.0,,22507.0,,0.0,,245.0,,7.0,,,,,
20,,65,,हापड़ु,,2.0,,2.0,,15181.0,,0.0,,224.0,,7.0,,,,,
21,,66,,कानपरु देहात,,0.0,,5.0,,7117.0,,0.0,,110.0,,7.0,,,,,
22,,67,,लमर्ापरु,,0.0,,1.0,,11943.0,,1.0,,125.0,,7.0,,,,,
23,,68,,बदाय,,0.0,,6.0,,17904.0,,0.0,,101.0,,6.0,,,,,
24,,69,,बबजनौर,,0.0,,3.0,,18276.0,,0.0,,139.0,,6.0,,,,,
25,,70,,गाजीपरु,,1.0,,3.0,,23860.0,,0.0,,295.0,,6.0,,,,,
26,,71,,रामपरु,,2.0,,0.0,,14599.0,,0.0,,153.0,,6.0,,,,,
27,,72,,कासगजं,,0.0,,2.0,,4876.0,,0.0,,55.0,,5.0,,,,,
28,,73,,श्रावस्ती,,0.0,,2.0,,5229.0,,0.0,,41.0,,5.0,,,,,
29,,74,,हाथरस,,0.0,,0.0,,3712.0,,0.0,,43.0,,4.0,,,,,
30,,75,,मरुादाबाद,,0.0,,7.0,,46064.0,,1.0,,367.0,,4.0,,,,,
31,,Total,,,,,,,272.0,,658.0,,2041326.0,,3.0,,23466.0,,3297.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23466 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
