"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23024","","5283","","28307",""
"2","Total Active Cases","24 
(0.1%)","","02 
(0.04%)","","26 
(0.1%)",""
"3","Total Cured/Discharged","22832 
(99.2%)","","5221 
(98.8%)","","28053 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","02","","05",""
"6","Total Positive cases in Home Isolation","21","","00","","21",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","225","","10","","235",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","222","","10","","232",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","60 
03 
00 
00 
63"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(16/06/2022)","","Test Done Today 
(17/06/2022)","","Cumulative"
"","","a)RTPCR","324689","","203","","324892"
"","","b)TRUENAT","14209","","14","","14223"
"","","c)RAT","349919","","18","","349937"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689922","","235","","690157"
