,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Durg,4,0,6,,468,908,0,,,,,1012391,525445,3343079,2021-10-31 08:00,https://twitter.com/HealthCgGov,,96880,1798,95028,,1012391,525445,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,1537836.0,1376
1,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Rajnandgaon,0,0,0,,596,650,0,,,,,1028876,530711,1537520,2021-10-31 08:00,https://twitter.com/HealthCgGov,,56077,515,55557,,1028876,530711,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,1559587.0,1246
2,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Balod,0,0,0,,523,762,0,,,,,537459,271570,826165,2021-10-31 08:00,https://twitter.com/HealthCgGov,,27278,396,26880,,537459,271570,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,809029.0,1285
3,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Bametara,1,0,0,,25,25,0,19962.14285714286,236.0,19726.0,,405388,132925,197035,2021-10-31 08:00,https://twitter.com/HealthCgGov,,19963,236,19726,,405388,132925,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,538313.0,50
4,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Kabeerdham,0,0,0,,1128,1288,0,,,,,402362,173494,584667,2021-10-31 08:00,https://twitter.com/HealthCgGov,,22771,267,22503,,402362,173494,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,575856.0,2416
5,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Raipur,9,0,3,,789,3193,0,,,,,1557999,915437,4062160,2021-10-31 08:00,https://twitter.com/HealthCgGov,,158035,3139,154852,,1557999,915437,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,2473436.0,3982
6,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Dhamtari,0,0,2,,1,18,0,,,,,509782,224591,799199,2021-10-31 08:00,https://twitter.com/HealthCgGov,,27239,545,26690,,509782,224591,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,734373.0,19
7,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Baloda Bazar,0,0,1,,953,605,0,,,,,617777,211945,1305343,2021-10-31 08:00,https://twitter.com/HealthCgGov,,43085,471,42611,,617777,211945,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,829722.0,1558
8,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Mahasamund,0,0,0,,159,6309,0,,,,,738333,428365,1032275,2021-10-31 08:00,https://twitter.com/HealthCgGov,,31365,365,31000,,738333,428365,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,1166698.0,6468
9,2021-11-31,CT,32,1,32,0,21842,39937,0,1005958.5714285716,13574.714285714286,992103.0,,14850127.0,7341840.0,Gariaband,0,0,0,,440,153,0,,,,,293987,99137,597653,2021-10-31 08:00,https://twitter.com/HealthCgGov,,19701,194,19506,,293987,99137,2021-11-03 09:39,28724000,2021-10-31 08:00,https://twitter.com/HealthCgGov,,1006052,13577,992159,,14850127,7341840,22191967.0,61779.0,22191967.0,393124.0,593
