"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24050","","5338","","29388",""
"2","Total Active Cases","09 
(0.04%)","","00 
(0%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","23870 
(99.25%)","","5278 
(98.9%)","","29148 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","97","","06","","103",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","96","","06","","102",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
00 
00 
00 
53"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(26/10/2022)","","Test Done Today 
(27/10/2022)","","Cumulative"
"","","a)RTPCR","341060","","58","","341118"
"","","b)TRUENAT","15564","","07","","15571"
"","","c)RAT","364298","","38","","364336"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","722147","","103","","722250"
