"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22917","","5275","","28192",""
"2","Total Active Cases","64 
(0.28%)","","02 
(0.04%)","","66 
(0.23%)",""
"3","Total Cured/ Discharged","22685 
(98.9%)","","5213                                  
(98.8%)","","(98.96%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","0","","09",""
"6","Total Positive cases in Home Isolation","11","","02","","13",""
"7","COVID Care Centre","44","","00","","44",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","288","","83","","371",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","283","","83","","366",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","227 
        00 
        00 
        09 
       236"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(15/03/2022)","","Test Done Today 
(16/03/2022)","","Cumulative"
"","","a)  RTPCR","311603","","332","","311935"
"","","b)  TRUENAT","12642","","15","","12657"
"","","c)  RAT","347231","","17","","347248"
"","","d)  CBNAAT","877","","07","","884"
"","","TOTAL","672353","","371","","672724"
