"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35186","1","34849","4","0","333","0"
"2","Ballari","1","97842","1","96049","106","0","1687","0"
"3","Belagavi","4","80083","4","79046","91","0","946","0"
"4","Bengaluru Rural","0","62132","2","61216","24","0","892","0"
"5","Bengaluru Urban","204","1260481","171","1238411","5691","0","16378","1"
"6","Bidar","0","24351","0","23943","0","0","404","4"
"7","Chamarajanagara","4","33115","3","32586","15","0","503","11"
"8","Chikkaballapura","1","43992","1","43557","2","1","432","1"
"9","Chikkamagaluru","1","51442","10","50980","64","0","398","0"
"10","Chitradurga","4","36762","4","36518","34","0","210","0"
"11","Dakshina 
Kannada","9","116215","13","114352","164","0","1692","7"
"12","Davanagere","0","51026","4","50410","8","0","608","0"
"13","Dharwada","1","61465","3","60114","25","0","1324","2"
"14","Gadag","0","26074","0","25754","1","0","319","0"
"15","Hassana","3","112246","16","110906","77","1","1261","2"
"16","Haveri","0","21960","0","21316","1","0","643","0"
"17","Kalaburagi","0","61973","2","61142","8","1","823","0"
"18","Kodagu","5","37605","16","37070","199","2","335","1"
"19","Kolara","6","47078","1","46401","35","0","642","0"
"20","Koppala","0","35209","0","34670","11","0","528","0"
"21","Mandya","4","73923","2","73232","36","0","655","0"
"22","Mysuru","10","180166","14","177595","144","0","2427","0"
"23","Raichuru","0","39991","0","39648","10","0","333","0"
"24","Ramanagara","0","24220","2","23892","5","0","323","0"
"25","Shivamogga","1","69709","0","68533","86","0","1090","0"
"26","Tumakuru","6","121252","14","120003","108","0","1141","0"
"27","Udupi","1","77001","2","76478","33","0","490","0"
"28","Uttara Kannada","30","56575","4","55713","88","0","774","0"
"29","Vijayapura","0","36286","0","35787","4","0","495","0"
"30","Yadagiri","0","27548","0","27342","0","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","295","3002944","290","2957546","7074","5","38295","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 21-12-2021 
 Page 5 of 8","","","","","","","","",""
