"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,127"
"2","Number of persons tested positive today in Tamil Nadu","489"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-2"
"","Total","491"
"3","Total Number of persons tested positive till date","35,68,657"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,491/ 
6,89,04,499@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,316/ 
6,76,90,996"
"6","No. of Male / Female / Transgender tested positive today","290/201/0"
"7","No. of Male / Female / Transgender tested positive till date","20,81,114/14,87,505/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","525/ 
35,25,495"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,035"
