"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","16,848+150","16,002+65","102","744+85","18-Jan-22"
"2","Coochbehar","31,372+159","30,296+90","100","976+69","18-Jan-22"
"3","Darjeeling","64,013+438","60,013+330","558","3,442+108","18-Jan-22"
"4","Kalimpong","7,652+26","7,293+30","55","304-4","18-Jan-22"
"5","Jalpaiguri","45,784+434","43,215+169","601+1","1,968+264","18-Jan-22"
"6","Uttar Dinajpur","23,227+257","20,943+195","251+1","2,033+61","18-Jan-22"
"7","Dakshin Dinajpur","21,034+251","19,310+142","180+1","1,544+108","18-Jan-22"
"8","Malda","40,918+383","36,428+430","190","4,300-47","18-Jan-22"
"9","Murshidabad","39,351+251","36,114+292","334","2,903-41","18-Jan-22"
"10","Nadia","83,297+681","77,537+458","910","4,850+223","18-Jan-22"
"11","Birbhum","52,769+608","46,496+588","312+2","5,961+18","18-Jan-22"
"12","Purulia","22,804+250","20,857+174","116","1,831+76","18-Jan-22"
"13","Bankura","41,077+217","38,388+241","276","2,413-24","18-Jan-22"
"14","Jhargram","14,595+91","13,194+141","28","1,373-50","18-Jan-22"
"15","Paschim Medinipur","60,009+241","56,339+321","514","3,156-80","18-Jan-22"
"16","Purba Medinipur","66,375+141","64,396+158","409+2","1,570-19","18-Jan-22"
"17","Purba Bardhaman","51,857+554","46,343+521","217","5,297+33","18-Jan-22"
"18","Paschim Bardhaman","72,930+417","65,603+718","378+1","6,949-302","18-Jan-22"
"19","Howrah","1,21,893+513","1,10,893+978","1,592+3","9,408-468","18-Jan-22"
"20","Hooghly","1,04,260+545","95,266+811","1,068+3","7,926-269","18-Jan-22"
"21","North 24 Parganas","3,90,646+1,798","3,57,431+2,891","5,122+8","28,093-1,101","18-Jan-22"
"22","South 24 Parganas","1,21,215+888","1,10,376+936","1,433+2","9,406-50","18-Jan-22"
"23","Kolkata","4,34,969+2,154","3,84,270+4,739","5,444+14","45,255-2,599","18-Jan-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","19,28,961+11,447","17,57,066+15,418","20,193+38","1,51,702-4,009",""
