"S. No","Subject","Number"
"1","Total Number of people vaccinated on 19th Jan","7,59,748"
"2","First Dose on 19th Jan","1,63,899"
"3","Second Dose on 19th Jan","5,39,353"
"4","Precaution Dose on 19th Jan","56,496"
"5","Cumulative Vaccination till 19th Jan","11,46,20,429"
"6","Cumulative Vaccination First Dose","6,81,70,232"
"7","Cumulative Vaccination Second Dose","4,60,79,204"
"8","Cumulative Precaution Dose","3,70,993"
"9","Number of CVC (Common Vaccination Centres)","5,707"
"10","Cumulative AEFI cases reported","6,629"
"11","Vaccine wastage","-7%"
