,Unnamed: 0,44,Unnamed: 1,सहारनपरु,Unnamed: 2,5,Unnamed: 3,7,Unnamed: 4,38323,Unnamed: 5,0,Unnamed: 6,426,Unnamed: 7,23,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,सोनभद्र,,3.0,,3.0,,18615.0,,0.0,,257.0,,22.0,,,,,
1,,46,,अयोध्या,,3.0,,3.0,,18641.0,,1.0,,293.0,,21.0,,,,,
2,,47,,हमीरपरु,,2.0,,12.0,,6019.0,,0.0,,102.0,,20.0,,,,,
3,,48,,क्रिरोजाबाद,,5.0,,4.0,,10520.0,,0.0,,136.0,,19.0,,,,,
4,,49,,पीलीभीत,,2.0,,8.0,,12697.0,,1.0,,205.0,,19.0,,,,,
5,,50,,सभंि,,0.0,,1.0,,11007.0,,0.0,,109.0,,17.0,,,,,
6,,51,,मजुफ्फरनगर,,0.0,,8.0,,38290.0,,0.0,,277.0,,16.0,,,,,
7,,52,,बदाय,,1.0,,3.0,,17895.0,,0.0,,101.0,,15.0,,,,,
8,,53,,हापड़ु,,1.0,,0.0,,15170.0,,0.0,,224.0,,15.0,,,,,
9,,54,,चचत्रकट,,3.0,,0.0,,7733.0,,0.0,,79.0,,14.0,,,,,
10,,55,,कानपरु देहात,,1.0,,4.0,,7109.0,,0.0,,110.0,,14.0,,,,,
11,,56,,अिीगढ,,0.0,,8.0,,25447.0,,0.0,,113.0,,13.0,,,,,
12,,57,,बस्ती,,2.0,,2.0,,12763.0,,0.0,,336.0,,13.0,,,,,
13,,58,,मनैपरुी,,0.0,,6.0,,11448.0,,0.0,,189.0,,13.0,,,,,
14,,59,,मऊ,,0.0,,2.0,,8918.0,,0.0,,85.0,,13.0,,,,,
15,,60,,मरुादाबाद,,0.0,,2.0,,46055.0,,0.0,,366.0,,13.0,,,,,
16,,61,,गोंडा,,1.0,,6.0,,14090.0,,0.0,,284.0,,12.0,,,,,
17,,62,,बबजनौर,,1.0,,14.0,,18271.0,,0.0,,139.0,,11.0,,,,,
18,,63,,इटावा,,0.0,,4.0,,15755.0,,0.0,,296.0,,11.0,,,,,
19,,64,,शामली,,5.0,,2.0,,16676.0,,0.0,,48.0,,11.0,,,,,
20,,65,,चदंौिी,,2.0,,9.0,,17515.0,,0.0,,378.0,,10.0,,,,,
21,,66,,औरैय्या,,1.0,,0.0,,10768.0,,0.0,,211.0,,9.0,,,,,
22,,67,,भदोही,,0.0,,4.0,,8456.0,,0.0,,165.0,,9.0,,,,,
23,,68,,महोबा,,3.0,,0.0,,4455.0,,0.0,,88.0,,9.0,,,,,
24,,69,,बिरामपरु,,2.0,,0.0,,8101.0,,0.0,,139.0,,7.0,,,,,
25,,70,,कासगजं,,0.0,,2.0,,4872.0,,0.0,,55.0,,7.0,,,,,
26,,71,,लमर्ापरु,,2.0,,4.0,,11943.0,,0.0,,124.0,,7.0,,,,,
27,,72,,हार्रस,,0.0,,5.0,,3710.0,,0.0,,43.0,,6.0,,,,,
28,,73,,श्रावस्ती,,2.0,,2.0,,5227.0,,0.0,,41.0,,6.0,,,,,
29,,74,,गाजीपरु,,2.0,,3.0,,23859.0,,0.0,,295.0,,5.0,,,,,
30,,75,,रामपरु,,1.0,,2.0,,14600.0,,0.0,,153.0,,3.0,,,,,
31,,Total,,,,,,,315.0,,477.0,,2039456.0,,3.0,,23450.0,,4232.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23447 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
