"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,313"
"2","Number of persons tested positive today in Tamil Nadu","549"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1 
USA-1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal-1"
"","Total","552"
"3","Total Number of persons tested positive till date","34,58,997"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,292/ 
6,68,38,764@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,233/ 
6,56,60,872"
"6","No. of Male / Female / Transgender tested positive today","301/251/0"
"7","No. of Male / Female / Transgender tested positive till date","20,18,523/14,40,436/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","177/ 
34,18,658"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
