"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22915","","5275","","28190",""
"2","Total Active Cases","68 
(0.3%)","","02 
(0.04%)","","70 
(0.25%)",""
"3","Total Cured/ Discharged","22679 
(98.9%)","","5213                                  
(98.8%)","","(98.94%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","0","","09",""
"6","Total Positive cases in Home Isolation","10","","02","","12",""
"7","COVID Care Centre","49","","00","","49",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","403","","130","","533",""
"10","No. of Samples Positive (Today)","10","","02","","12",""
"11","No. of Samples Negative (Today)","389","","128","","517",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","162 
        00 
        00 
        10 
       172"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(14/03/2022)","","Test Done Today 
(15/03/2022)","","Cumulative"
"","","a)  RTPCR","311164","","439","","311603"
"","","b)  TRUENAT","12617","","25","","12642"
"","","c)  RAT","347183","","48","","347231"
"","","d)  CBNAAT","856","","21","","877"
"","","TOTAL","671820","","533","","672353"
