"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,442"
"2","Number of persons tested positive today in Tamil Nadu","739"
"3","Total Number of persons tested positive till date","27,23,245"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,993/ 
5,37,64,057@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,738/ 
5,28,32,931"
"6","No. of Male / Female / Transgender tested positive today","435/304/0"
"7","No. of Male / Female / Transgender tested positive till date","15,89,442/11,33,765/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","764/ 
26,78,371"
"10","Total number of deaths today/ till date","17(7 Private &  
10 Govt) /36,432)"
