"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","784281","0","49732","0","446","0","49276","10"
"2","ALWAR","1597968","1","84480","0","320","0","84136","24"
"3","BANSWARA","315411","0","14763","0","106","0","14657","0"
"4","BARAN","232760","0","15249","0","64","0","15183","2"
"5","BARMER","402027","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476209","0","31450","0","272","0","31178","0"
"7","BHILWARA","505374","0","38179","0","162","0","38016","1"
"8","BIKANER","735938","1","49907","0","586","0","49316","5"
"9","BUNDI","231847","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450530","0","29377","0","140","0","29234","3"
"11","CHURU","432690","0","20819","0","114","0","20705","0"
"12","DAUSA","288974","1","15783","0","80","0","15695","8"
"13","DHOLPUR","280510","4","13807","0","49","9","13718","40"
"14","DUNGARPUR","327404","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421725","0","28138","0","158","0","27978","2"
"16","HANUMANGARH","487445","0","22516","0","114","0","22402","0"
"17","JAIPUR","3376823","34","274966","0","2111","20","272531","324"
"18","JAISALMER","242028","0","17036","0","68","0","16968","0"
"19","JALORE","443163","0","10545","0","78","0","10467","0"
"20","JHALAWAR","388362","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","491408","0","19158","0","181","0","18977","0"
"22","JODHPUR","1414503","0","141094","0","1164","1","139925","5"
"23","KARAULI","236740","0","8968","0","84","0","8884","0"
