"Total No. of Sample Taken Today","17504"
"Total No. of Positive Cases Detected Today","953"
"Total Active COVID-19 Patients","3728"
"Total No. of Active Cases under Home Isolation (18-08-2022)","3525"
"Total No. of Samples found Positive till date","1045603"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1031190"
"No. of Deaths","10662"
"Total No. of People Vaccinated Today","18409 
(1st Dose: 731 
2nd Dose: 4203 
Precaution Dose: 13475)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23636180 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19720993 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1644174"
"Cumulative Coverage of Total COVID-19 Vaccination","45001347"
"COVID-19 Today (18-08-2022) Positivity Rate","6.03%"
"Recovery Rate","98.62%"
"Fatality Rate","1.02%"
