"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","364856","19353717"
"2","Total No. of patients tested Positive","849","759930"
"3","No. of patients discharged","655","741905"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","4293"
"6","Test conducted on the day","","8420"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","274"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218572"
"14","Frontline Workers vaccinated with 1st dose on the day","","18"
"15","Total Frontline Workers vaccinated with 1st dose","","1117108"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","22"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209675"
"18","Frontline Workers vaccinated with 2nd dose on the day","","82"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010609"
"20","Above 45 Vaccinated with 1st dose on the day","","817"
"21","Total Above 45 Vaccinated with 1st dose","","8284757"
"22","Above 45 Vaccinated with 2nd dose on the day","","12150"
"23","Total Above 45 Vaccinated with 2nd dose","","7054564"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2480"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12476976"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","26286"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9450941"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1605"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1044095"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4090"
"31","Total 15-17 years age group Vaccinated with 2nddose","","628753"
"32","12-14 years age group Vaccinated with 1st dose on the day","","5229"
"33","Total 12-14 years age group Vaccinated with 1st dose","","490475"
"34","12-14 years age group Vaccinated with 2nddose on the day","","7671"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","159296"
"36","Precautionary dose given on the day","","3503"
"37","Total Precautionary dose given","","570476"
"38","Total Vaccination 1st dose on the day","","3316"
"39","Total Vaccination 2nd dose on the day","","38540"
"40","Total Vaccination 1st and 2nd dose on the day","","41856"
