"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","111","109888","101","107590","1","2280","18"
"2","SAS Nagar","184","95875","123","94656","0","1148","71"
"3","Jalandhar","83","78356","67","76767","0","1578","11"
"4","Patiala","192","62226","66","60638","0","1458","130"
"5","Amritsar","45","59440","33","57741","0","1682","17"
"6","Bathinda","29","50899","28","49806","0","1088","5"
"7","Hoshiarpur","47","40885","57","39789","0","1096","0"
"8","Gurdaspur","11","26950","11","26084","1","865","1"
"9","Pathankot","28","24563","32","24065","0","495","3"
"10","Fazilka","15","23413","24","22863","0","545","5"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","22","22055","19","21471","1","583","1"
"13","Ropar","10","17948","7","17490","0","455","3"
"14","Ferozepur","8","17907","9","17369","0","537","1"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","19","16802","23","16464","0","338","0"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","18","13420","19","13007","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","6","7504","11","7154","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","849","759930","655","741905","4","17751","274"
